L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG237,AFG1,Afghanistan,AFG18,Kunar,Nari,46.97369893950812,2.0,Member State,AFG,ND,2022
AFG238,AFG1,Afghanistan,AFG18,Kunar,Nurgal,51.56154910420068,2.0,Member State,AFG,ND,2022
AFG239,AFG1,Afghanistan,AFG18,Kunar,Sarkani,67.54180222510395,2.0,Member State,AFG,ND,2022
AFG24,AFG1,Afghanistan,AFG1,Badakhshan,Warduj,34.31482557933104,2.0,Member State,AFG,ND,2022
AFG240,AFG1,Afghanistan,AFG18,Kunar,Shigal wa shel tan,65.77273815025663,2.0,Member State,AFG,ND,2022
AFG241,AFG1,Afghanistan,AFG18,Kunar,Wata Pur,38.53500884263185,2.0,Member State,AFG,ND,2022
AFG242,AFG1,Afghanistan,AFG19,Kunduz,Ali Abad,80.34609913150014,2.0,Member State,AFG,ND,2022
AFG243,AFG1,Afghanistan,AFG19,Kunduz,Chahar Darah,118.690758486572,2.0,Member State,AFG,ND,2022
AFG244,AFG1,Afghanistan,AFG19,Kunduz,Dasht-e-Archi,115.94493878658923,2.0,Member State,AFG,ND,2022
AFG245,AFG1,Afghanistan,AFG19,Kunduz,Imam Saheb,337.8322203434268,2.0,Member State,AFG,ND,2022
AFG246,AFG1,Afghanistan,AFG19,Kunduz,Khan Abad,188.14040188478344,2.0,Member State,AFG,ND,2022
AFG247,AFG1,Afghanistan,AFG19,Kunduz,Kunduz,623.5653258551877,2.0,Member State,AFG,ND,2022
AFG248,AFG1,Afghanistan,AFG19,Kunduz,Qala-e-Zal,104.88527972156088,2.0,Member State,AFG,ND,2022
AFG249,AFG1,Afghanistan,AFG20,Laghman,Alingar,205.48878132279106,2.0,Member State,AFG,ND,2022
AFG25,AFG1,Afghanistan,AFG1,Badakhshan,Yaftal-e-Sufla,82.90766072031212,2.0,Member State,AFG,ND,2022
AFG250,AFG1,Afghanistan,AFG20,Laghman,Alishang,117.49368254734556,2.0,Member State,AFG,ND,2022
